,sub_category
0,Beauty
1,Contacts & glasses
2,Health
3,Personal care
4,Work clothes
5,Costumes
6,Accessories
7,Clothing
8,Shoes
9,Toys
10,Rc toys
11,Board games
12,Arts & crafts
13,Scale models & model kits
14,Trampolines
15,Table sports
16,Jigsaw puzzles
17,Bathroom & sauna
18,Food & wine
19,Home
20,Home appliances
21,Interior & furniture
22,Kitchen
23,Office equipment
24,Small home appliances
25,Smart home
26,Headphones
27,Tvs
28,Media players
29,Speakers
30,Soundbars & home cinema systems
31,Amplifiers & receivers
32,Cables
33,Blu-ray & dvd-players
34,Boat- & car audio
35,"Dj equipment, karaoke & party machines"
36,Home audio
37,Musical instruments
38,Projectors & accessories
39,Studio & recording equipment
40,Tv accessories & digital tv boxes
41,Sports fan apparel
42,Swim & water sports
43,Fitness machines
44,Golf
45,Fitness
46,Climbing
47,Equestrian
48,Sports accessories
49,Martial arts
50,Disc golf
51,Ball sports
52,Cycling
53,"Hunting, fishing & outdoors"
54,Racket sports
55,Skateboard & inlines
56,Winter sports
57,Components
58,Computers
59,Networking
60,Peripherals
61,Software
62,Storage
63,Diy accessories
64,Bricks & paving
65,Kitchen sinks
66,Building materials
67,"Conservatories, outbuildings & sheds"
68,"Floor, wall & roof"
69,Heating & plumbing
70,Tools & machines
71,Camcorders
72,Digital cameras
73,Analogue cameras
74,Camera lenses
75,Camera bags
76,Camera accessories
77,Digital photo frames
78,Camera tripods
79,Lighting & studio equipment
80,Camera flashes
81,Camera lens filters
82,Color calibrators
83,Game consoles
84,Game controllers
85,Vr - virtual reality
86,Gaming accessories
87,Gaming chairs
88,Entertainment
89,Games
90,Retro games
91,Mobile phones
92,Wearables
93,Mobile phone accessories
94,Sat navs
95,Landline phones
96,Strollers
97,Baby care
98,"""Kids room"""
99,Child car seats
100,Child safety
101,Stroller accessories
102,Maternity & nursing
103,Child car seats accessories
104,Electric vehicles
105,Car care & vehicle accessories
106,Electric vehicle charging
107,Trailers
108,Boating
109,Motorcycle equipment
110,Car tires
111,Car parts
112,Car rims
113,Bbq accessories
114,Grills
115,Garden power tools
116,Garden & outdoor environment
117,Robotic lawn mowers
118,Lawn mowers
119,Garden tools
120,Outdoor furniture
121,"Pots, plants & cultivation"
122,Greenhouses
123,Pressure washers & power washers
124,Swimming pools & accessories
125,Garden power tool accessories
126,Hot tubs
127,Snow blowers
128,Fryers
129,Coffee makers
130,Food cookers
131,Kettles
132,Soft drinks makers
133,Irons & steamers
134,Food mixers & food processors
135,Air treatment
136,Blenders
137,Toasters
138,Fans
139,Kitchen appliances
140,Hand blenders
141,Coffee grinders
142,Juicers
143,Waffle makers
144,Sandwich toasters
145,Hand mixers
146,Ice cream makers
147,Kitchen scales
148,Breadmakers
149,Ice makers
150,Vacuum cleaners
151,Robot vacuum cleaners
152,Washing machines
153,Dishwashers
154,Microwave ovens
155,Tumble dryers
156,Vacuum cleaner accessories
157,Extractor fans
158,White goods accessories
159,Cookers & ovens
160,Fridges & freezers
161,Books
162,Movies
163,Vinyl records
164,Calculators
165,Office supplies
